transfertopositionchangeanalyze,TOOL_NAME
searchoccupationsbyworknature,TOOL_NAME
locationprefecturepreference,INTERNAL_PARAM
locationprefectureresidence,INTERNAL_PARAM
searchoccupationsbysentence,TOOL_NAME
searchindustriesbysentence,TOOL_NAME
userpreferencesinsentence,INTERNAL_PARAM
currentjobexperienceyears,INTERNAL_PARAM
transfertopositionsearch,TOOL_NAME
transfertocareeradvisor,TOOL_NAME
transfertopositionguide,TOOL_NAME
locationcitypreference,INTERNAL_PARAM
currentjobdescription,INTERNAL_PARAM
positionchangeanalyze,AGENT_ID
locationcityresidence,INTERNAL_PARAM
handofftodefaultagent,TOOL_NAME
jobnaturepreferences,INTERNAL_PARAM
instructionhierarchy,SYSTEM_HEADER
saveuserpersonalinfo,TOOL_NAME
getuserpersonalinfo,TOOL_NAME_HIDDEN
jobfeedbacknegative,INTERNAL_PARAM
jobsearchmotivation,INTERNAL_PARAM
jobfeedbackpositive,INTERNAL_PARAM
searchjobpositings,TOOL_NAME_TYPO
saveuserpreference,TOOL_NAME
searchoccupations,TOOL_FRAGMENT
getuserpreference,TOOL_NAME_HIDDEN
searchjobpostings,TOOL_NAME
searchjobpostingsforitengineer,TOOL_NAME
naturepreferences,PARAM_FRAGMENT
industrysentence,INTERNAL_PARAM
searchindustries,TOOL_FRAGMENT
formregistration,TOOL_NAME
interesttendency,INTERNAL_PARAM
formapplication,TOOL_NAME
positionkeyword,INTERNAL_PARAM
averageovertime,INTERNAL_PARAM
userpreferences,PARAM_FRAGMENT
fullyremotework,INTERNAL_PARAM
jobsearchfilter,INTERNAL_PARAM
applicationtype,INTERNAL_PARAM
userpreference,TOOL_FRAGMENT
prefecturename,INTERNAL_PARAM
positionsearch,AGENT_ID
occupationsby,TOOL_FRAGMENT
roleintegrity,SYSTEM_HEADER
careeradvisor,AGENT_ID
positionguide,AGENT_ID
personalinfo,TOOL_FRAGMENT
userpersonal,TOOL_FRAGMENT
searchfilter,PARAM_FRAGMENT
systemprompt,SYSTEM_HEADER
preferenceid,INTERNAL_PARAM
defaultagent,AGENT_ID
locationtype,INTERNAL_PARAM
internalrule,SYSTEM_HEADER
industriesby,TOOL_FRAGMENT
jobtypenames,INTERNAL_PARAM
fullyremote,PARAM_FRAGMENT
jobpostings,INTERNAL_PARAM
userpurpose,INTERNAL_PARAM
positionid,INTERNAL_PARAM
transferto,TOOL_FRAGMENT
worknature,INTERNAL_PARAM
bysentence,TOOL_FRAGMENT
remotework,PARAM_FRAGMENT
searchjob,TOOL_FRAGMENT
handoffto,TOOL_FRAGMENT
typenames,PARAM_FRAGMENT
residence,PARAM_FRAGMENT
jobsearch,PARAM_FRAGMENT
jobnature,PARAM_FRAGMENT
cityname,INTERNAL_PARAM
username,INTERNAL_PARAM
personal,TOOL_FRAGMENT
saveuser,TOOL_FRAGMENT
dayoffs,INTERNAL_PARAM
jobtype,PARAM_FRAGMENT
